county_name,county_seat,population
Adams,West Union,27477
Allen,Lima,102206
Ashland,Ashland,52447
Ashtabula,Jefferson,97574
Athens,Athens,62431
Auglaize,Wapakoneta,46422
Belmont,Saint Clairsville,66497
Brown,Georgetown,43676
Butler,Hamilton,390357
Carroll,Carrollton,26721
Champaign,Urbana,38714
Clark,Springfield,136001
Clermont,Batavia,208601
Clinton,Wilmington,42018
Columbiana,Lisbon,101877
Coshocton,Coshocton,36612
Crawford,Bucyrus,42025
Cuyahoga,Cleveland,1264817
Darke,Greenville,51881
Defiance,Defiance,38286
Delaware,Delaware,214124
Erie,Sandusky,75622
Fairfield,Lancaster,158921
Fayette,Washington Court House,28951
Franklin,Columbus,1323807
Fulton,Wauseon,42713
Gallia,Gallipolis,29220
Geauga,Chardon,95397
Greene,Xenia,167966
Guernsey,Cambridge,38438
Hamilton,Cincinnati,830639
Hancock,Findlay,74920
Hardin,Kenton,30696
Harrison,Cadiz,14483
Henry,Napoleon,27662
Highland,Hillsboro,43317
Hocking,Logan,28050
Holmes,Millersburg,44223
Huron,Norwalk,58565
Jackson,Jackson,32653
Jefferson,Steubenville,65249
Knox,Mount Vernon,62721
Lake,Painesville,232603
Lawrence,Ironton,58240
Licking,Newark,178519
Logan,Bellefontaine,46150
Lorain,Elyria,312964
Lucas,Toledo,431279
Madison,London,43824
Mahoning,Youngstown,228614
Marion,Marion,65359
Medina,Medina,182470
Meigs,Pomeroy,22210
Mercer,Celina,42528
Miami,Troy,108774
Monroe,Woodsfield,13385
Montgomery,Dayton,537309
Morgan,McConnelsville,13802
Morrow,Mount Gilead,34950
Muskingum,Zanesville,86410
Noble,Caldwell,14115
Ottawa,Port Clinton,40364
Paulding,Paulding,18806
Perry,New Lexington,35408
Pickaway,Circleville,58539
Pike,Waverly,27088
Portage,Ravenna,161791
Preble,Eaton,40999
Putnam,Ottawa,34451
Richland,Mansfield,124936
Ross,Chillicothe,77093
Sandusky,Fremont,58896
Scioto,Portsmouth,74008
Seneca,Tiffin,55069
Shelby,Sidney,48230
Stark,Canton,374853
Summit,Akron,540428
Trumbull,Warren,201977
Tuscarawas,New Philadelphia,93263
Union,Marysville,62784
Van Wert,Van Wert,28931
Vinton,McArthur,12800
Warren,Lebanon,242337
Washington,Marietta,59771
Wayne,Wooster,116894
Williams,Bryan,37102
Wood,Bowling Green,132248
Wyandot,Upper Sandusky,21900
